date,release_date,chf_inflation
2014-09-30,2014-10-07,0
2014-10-31,2014-11-05,0.1
2014-11-30,2014-12-08,0.1
2014-12-31,2015-01-09,-0.1
2015-01-31,2015-01-31,-0.1
2015-02-28,2015-03-06,-0.4
2015-03-31,2015-04-08,-0.4
2015-04-30,2015-05-08,-0.9
2015-05-31,2015-06-09,-0.9
2015-06-30,2015-07-06,-0.6
2015-07-31,2015-08-05,-0.8
2015-08-31,2015-09-04,-1.1
2015-09-30,2015-10-06,-1.2
2015-10-31,2015-11-05,-1.1
2015-11-30,2015-12-04,-1.2
2015-12-31,2016-01-08,-1.3
2016-01-31,2016-02-01,-1.5
2016-02-29,2016-03-08,-0.9
2016-03-31,2016-04-08,-1
2016-04-30,2016-05-09,-0.5
2016-05-31,2016-06-08,-0.5
2016-06-30,2016-07-07,-0.6
2016-07-31,2016-08-08,-0.5
2016-08-31,2016-09-06,0
2016-09-30,2016-10-06,-0.3
2016-10-31,2016-11-07,-0.3
2016-11-30,2016-12-06,-0.2
2016-12-31,2017-01-05,-0.2
2017-01-31,2017-02-04,0.3
2017-02-28,2017-03-08,0.7
2017-03-31,2017-04-06,0.5
2017-04-30,2017-05-01,0.7
2017-05-31,2017-06-08,0.4
2017-06-30,2017-07-06,0.4
2017-07-31,2017-08-07,0.6
2017-08-31,2017-09-05,0.5
2017-09-30,2017-10-05,0.8
2017-10-31,2017-11-06,0.8
2017-11-30,2017-12-06,0.8
2017-12-31,2018-01-08,1.1
2018-01-31,2018-02-02,0.8
2018-02-28,2018-03-06,0.5
2018-03-31,2018-04-05,0.7
2018-04-30,2018-05-07,0.4
2018-05-31,2018-06-06,1
2018-06-30,2018-07-05,0.9
2018-07-31,2018-08-03,1.2
2018-08-31,2018-09-04,1.3
2018-09-30,2018-10-05,1.1
2018-10-31,2018-11-01,1.1
2018-11-30,2018-12-04,1
2018-12-31,2019-01-09,0.8
2019-01-31,2019-02-01,0.7
2019-02-28,2019-03-05,0.7
2019-03-31,2019-04-02,0.7
2019-04-30,2019-05-03,1.1
2019-05-31,2019-06-03,0.5
2019-06-30,2019-07-04,0.7
2019-07-31,2019-08-02,0.4
2019-08-31,2019-09-03,0.5
2019-09-30,2019-10-02,0.1
2019-10-31,2019-11-01,-0.3
2019-11-30,2019-12-03,-0.3
2019-12-31,2020-01-07,-0.1
2020-01-31,2020-01-31,0.2
2020-02-29,2020-03-04,-0.2
2020-03-31,2020-04-02,-0.4
2020-04-30,2020-05-05,-1
2020-05-31,2020-06-04,-1
2020-06-30,2020-07-02,-1.3
2020-07-31,2020-08-03,-1.2
2020-08-31,2020-09-03,-1.4
2020-09-30,2020-10-01,-1.1
2020-10-31,2020-11-03,-0.9
2020-11-30,2020-12-02,-0.8
2020-12-31,2021-01-05,-1
2021-01-31,2021-02-02,-0.6
2021-02-28,2021-03-03,-0.4
2021-03-31,2021-04-01,-0.2
2021-04-30,2021-05-05,-0.1
2021-05-31,2021-06-07,0.3
2021-06-30,2021-07-01,0.5
2021-07-31,2021-08-02,0.5
2021-08-31,2021-09-02,0.8
2021-09-30,2021-10-04,0.8
2021-10-31,2021-11-02,1.3
2021-11-30,2021-12-01,1.5
2021-12-31,2022-01-04,1.3
2022-01-31,2022-02-01,1.4
2022-02-28,2022-03-03,1.9
2022-03-31,2022-04-01,2.2
2022-04-30,2022-05-05,2.3
2022-05-31,2022-06-02,2.7
2022-06-30,2022-07-04,3.2
2022-07-31,2022-08-03,3.3
2022-08-31,2022-09-01,3.3
2022-09-30,2022-10-03,3.2
2022-10-31,2022-11-03,2.9
2022-11-30,2022-12-01,2.9
2022-12-31,2023-01-04,2.7
2023-01-31,2023-02-03,3.2
2023-02-28,2023-03-06,3.2
2023-03-31,2023-04-03,2.7
2023-04-30,2023-05-05,2.6
2023-05-31,2023-06-05,2.2
2023-06-30,2023-07-03,1.8
2023-07-31,2023-08-03,2.1
2023-08-31,2023-09-01,1.9
2023-09-30,2023-10-03,2
2023-10-31,2023-11-02,2
2023-11-30,2023-12-04,1.6
2023-12-31,2024-01-08,2.1
2024-01-31,2024-02-03,1.5
2024-02-29,2024-03-04,1.2
2024-03-31,2024-04-04,1.1
