dates,release_dates,gbp_inflation
2014-08-31,2014-09-16,1.5
2014-09-30,2014-10-14,1.3
2014-10-31,2014-11-18,1.3
2014-11-30,2014-12-16,1.1
2014-12-31,2015-01-13,0.7
2015-01-31,2015-02-17,0.5
2015-02-28,2015-03-24,0.4
2015-03-31,2015-04-14,0.3
2015-04-30,2015-05-19,0.3
2015-05-31,2015-06-16,0.4
2015-06-30,2015-07-14,0.3
2015-07-31,2015-08-18,0.5
2015-08-31,2015-09-15,0.4
2015-09-30,2015-10-13,0.2
2015-10-31,2015-11-17,0.2
2015-11-30,2015-12-15,0.4
2015-12-31,2016-01-19,0.5
2016-01-31,2016-02-16,0.6
2016-02-29,2016-03-22,0.6
2016-03-31,2016-04-12,0.8
2016-04-30,2016-05-17,0.7
2016-05-31,2016-06-14,0.7
2016-06-30,2016-07-19,0.8
2016-07-31,2016-08-16,0.9
2016-08-31,2016-09-13,1
2016-09-30,2016-10-18,1.3
2016-10-31,2016-11-15,1.3
2016-11-30,2016-12-13,1.5
2016-12-31,2017-01-17,1.8
2017-01-31,2017-02-14,1.9
2017-02-28,2017-03-21,2.3
2017-03-31,2017-04-11,2.3
2017-04-30,2017-05-16,2.6
2017-05-31,2017-06-13,2.7
2017-06-30,2017-07-18,2.6
2017-07-31,2017-08-15,2.6
2017-08-31,2017-09-12,2.7
2017-09-30,2017-10-17,2.8
2017-10-31,2017-11-14,2.8
2017-11-30,2017-12-12,2.8
2017-12-31,2018-01-16,2.7
2018-01-31,2018-02-13,2.7
2018-02-28,2018-03-20,2.5
2018-03-31,2018-04-18,2.3
2018-04-30,2018-05-23,2.2
2018-05-31,2018-06-13,2.3
2018-06-30,2018-07-18,2.3
2018-07-31,2018-08-15,2.3
2018-08-31,2018-09-19,2.4
2018-09-30,2018-10-17,2.2
2018-10-31,2018-11-14,2.2
2018-11-30,2018-12-19,2.2
2018-12-31,2019-01-16,2
2019-01-31,2019-02-13,1.8
2019-02-28,2019-03-20,1.8
2019-03-31,2019-04-17,1.8
2019-04-30,2019-05-22,2
2019-05-31,2019-06-19,1.9
2019-06-30,2019-07-17,1.9
2019-07-31,2019-08-14,2
2019-08-31,2019-09-18,1.7
2019-09-30,2019-10-16,1.7
2019-10-31,2019-11-13,1.5
2019-11-30,2019-12-18,1.5
2019-12-31,2020-01-15,1.4
2020-01-31,2020-02-19,1.8
2020-02-29,2020-03-25,1.7
2020-03-31,2020-04-22,1.5
2020-04-30,2020-05-20,0.9
2020-05-31,2020-06-17,0.7
2020-06-30,2020-07-15,0.8
2020-07-31,2020-08-19,1.1
2020-08-31,2020-09-16,0.5
2020-09-30,2020-10-21,0.7
2020-10-31,2020-11-18,0.9
2020-11-30,2020-12-16,0.6
2020-12-31,2021-01-20,0.8
2021-01-31,2021-02-17,0.9
2021-02-28,2021-03-24,0.7
2021-03-31,2021-04-21,1
2021-04-30,2021-05-19,1.6
2021-05-31,2021-06-16,2.1
2021-06-30,2021-07-14,2.4
2021-07-31,2021-08-18,2.1
2021-08-31,2021-09-15,3
2021-09-30,2021-10-20,2.9
2021-10-31,2021-11-17,3.8
2021-11-30,2021-12-15,4.6
2021-12-31,2022-01-19,4.8
2022-01-31,2022-02-16,4.9
2022-02-28,2022-03-23,5.5
2022-03-31,2022-04-13,6.2
2022-04-30,2022-05-18,7.8
2022-05-31,2022-06-22,7.9
2022-06-30,2022-07-20,8.2
2022-07-31,2022-08-17,8.8
2022-08-31,2022-09-14,8.6
2022-09-30,2022-10-19,8.8
2022-10-31,2022-11-16,9.6
2022-11-30,2022-12-14,9.3
2022-12-31,2023-01-18,9.2
2023-01-31,2023-02-15,8.8
2023-02-28,2023-03-22,9.2
2023-03-31,2023-04-19,8.9
2023-04-30,2023-05-24,7.8
2023-05-31,2023-06-21,7.9
2023-06-30,2023-07-19,7.3
2023-07-31,2023-08-16,6.4
2023-08-31,2023-09-20,6.3
2023-09-30,2023-10-18,6.3
2023-10-31,2023-11-15,4.7
2023-11-30,2023-12-20,4.2
2023-12-31,2024-01-17,4.2
2024-01-31,2024-02-14,4.2
2024-02-29,2024-03-20,3.8
2024-03-31,2024-04-17,3.8
