date,release_date,usd_inflation
2002-12-31,2003-01-16,2.82089
2003-01-31,2003-02-21,2.41125
2003-02-28,2003-03-21,3.08576
2003-03-31,2003-04-16,3.2408
2003-04-30,2003-05-16,2.25623
2003-05-31,2003-06-17,2.00634
2003-06-30,2003-07-16,2.1111
2003-07-31,2003-08-15,2.08416
2003-08-31,2003-09-16,2.22281
2003-09-30,2003-10-16,2.41311
2003-10-31,2003-11-18,2.00314
2003-11-30,2003-12-16,1.67561
2003-12-31,2004-01-15,1.8115
2004-01-31,2004-02-20,1.97515
2004-02-29,2004-03-17,1.64572
2004-03-31,2004-04-14,1.49235
2004-04-30,2004-05-14,2.12903
2004-05-31,2004-06-15,3.14441
2004-06-30,2004-07-16,3.35961
2004-07-31,2004-08-17,3.04949
2004-08-31,2004-09-16,2.61194
2004-09-30,2004-10-19,2.43309
2004-10-31,2004-11-17,3.36285
2004-11-30,2004-12-17,3.87537
2004-12-31,2005-01-19,3.53275
2005-01-31,2005-02-23,3.0785
2005-02-28,2005-03-23,2.99592
2005-03-31,2005-04-20,3.18165
2005-04-30,2005-05-18,3.79027
2005-05-31,2005-06-15,3.01091
2005-06-30,2005-07-14,2.62533
2005-07-31,2005-08-16,3.37304
2005-08-31,2005-09-15,4.08777
2005-09-30,2005-10-14,5.66321
2005-10-31,2005-11-16,5.06643
2005-11-30,2005-12-15,3.80516
2005-12-31,2006-01-18,3.67372
2006-01-31,2006-02-22,4.4674
2006-02-28,2006-03-16,3.99802
2006-03-31,2006-04-19,3.74693
2006-04-30,2006-05-17,3.79793
2006-05-31,2006-06-14,4.44526
2006-06-30,2006-07-19,4.6047
2006-07-31,2006-08-16,4.36681
2006-08-31,2006-09-15,3.87905
2006-09-30,2006-10-18,1.37246
2006-10-31,2006-11-16,0.40184
2006-11-30,2006-12-15,1.21791
2006-12-31,2007-01-18,2.00601
2007-01-31,2007-02-21,1.35795
2007-02-28,2007-03-16,1.79719
2007-03-31,2007-04-17,2.38011
2007-04-30,2007-05-15,2.18131
2007-05-31,2007-06-15,2.41371
2007-06-30,2007-07-18,2.38733
2007-07-31,2007-08-15,2.01069
2007-08-31,2007-09-19,1.5076
2007-09-30,2007-10-17,2.56769
2007-10-31,2007-11-15,3.69629
2007-11-30,2007-12-14,4.77763
2007-12-31,2008-01-16,4.4748
2008-01-31,2008-02-20,4.75967
2008-02-29,2008-03-14,4.50134
2008-03-31,2008-04-16,4.41823
2008-04-30,2008-05-14,4.45312
2008-05-31,2008-06-13,4.79335
2008-06-30,2008-07-16,5.95996
2008-07-31,2008-08-14,6.75629
2008-08-31,2008-09-16,6.50063
2008-09-30,2008-10-16,5.91716
2008-10-31,2008-11-19,4.23431
2008-11-30,2008-12-16,0.75433
2008-12-31,2009-01-16,-0.48467
2009-01-31,2009-02-20,-0.52726
2009-02-28,2009-03-18,-0.20139
2009-03-31,2009-04-15,-0.97475
2009-04-30,2009-05-15,-1.48335
2009-05-31,2009-06-17,-2.1947
2009-06-30,2009-07-15,-2.30786
2009-07-31,2009-08-14,-3.08431
2009-08-31,2009-09-16,-2.28492
2009-09-30,2009-10-15,-1.95531
2009-10-31,2009-11-18,-0.4792
2009-11-30,2009-12-16,2.38015
2009-12-31,2010-01-15,3.57911
2010-01-31,2010-02-19,3.62016
2010-02-28,2010-03-18,3.06054
2010-03-31,2010-04-14,3.42282
2010-04-30,2010-05-19,3.36828
2010-05-31,2010-06-17,3.06599
2010-06-30,2010-07-16,1.79101
2010-07-31,2010-08-13,2.03722
2010-08-31,2010-09-17,1.88824
2010-09-30,2010-10-15,1.77515
2010-10-31,2010-11-17,1.77282
2010-11-30,2010-12-15,1.51714
2010-12-31,2011-01-14,1.90268
2011-01-31,2011-02-17,2.03526
2011-02-28,2011-03-17,2.5998
2011-03-31,2011-04-15,3.30954
2011-04-30,2011-05-13,3.92749
2011-05-31,2011-06-15,4.44061
2011-06-30,2011-07-15,4.39335
2011-07-31,2011-08-18,4.42478
2011-08-31,2011-09-15,4.5577
2011-09-30,2011-10-19,4.65116
2011-10-31,2011-11-16,4.15054
2011-11-30,2011-12-16,3.96732
2011-12-31,2012-01-19,3.36946
2012-01-31,2012-02-17,3.27467
2012-02-29,2012-03-16,3.21247
2012-03-31,2012-04-13,2.84757
2012-04-30,2012-05-15,2.32558
2012-05-31,2012-06-14,1.53767
2012-06-30,2012-07-17,1.50967
2012-07-31,2012-08-15,1.37453
2012-08-31,2012-09-14,1.6488
2012-09-30,2012-10-16,1.99588
2012-10-31,2012-11-15,2.24035
2012-11-30,2012-12-14,1.72699
2012-12-31,2013-01-16,1.72324
2013-01-31,2013-02-21,1.52861
2013-02-28,2013-03-15,1.98254
2013-03-31,2013-04-16,1.35383
2013-04-30,2013-05-16,0.84213
2013-05-31,2013-06-18,1.19931
2013-06-30,2013-07-16,1.68076
2013-07-31,2013-08-15,1.77388
2013-08-31,2013-09-17,1.26723
2013-09-30,2013-10-30,0.8372
2013-10-31,2013-11-20,0.53519
2013-11-30,2013-12-17,0.85392
2013-12-31,2014-01-16,1.15318
2014-01-31,2014-02-20,1.26144
2014-02-28,2014-03-18,0.695
2014-03-31,2014-04-15,1.17505
2014-04-30,2014-05-15,1.75068
2014-05-31,2014-06-17,1.97851
2014-06-30,2014-07-22,1.91344
2014-07-31,2014-08-19,1.77301
2014-08-31,2014-09-17,1.41155
2014-09-30,2014-10-22,1.35041
2014-10-31,2014-11-20,1.34592
2014-11-30,2014-12-17,0.88701
2014-12-31,2015-01-16,0.17151
2015-01-31,2015-02-26,-0.94434
2015-02-28,2015-03-24,-0.87026
2015-03-31,2015-04-17,-0.9331
2015-04-30,2015-05-22,-1.12726
2015-05-31,2015-06-18,-0.9159
2015-06-30,2015-07-17,-0.75691
2015-07-31,2015-08-19,-0.70866
2015-08-31,2015-09-16,-0.69102
2015-09-30,2015-10-15,-1.01658
2015-10-31,2015-11-17,-0.75322
2015-11-30,2015-12-15,-0.31971
2015-12-31,2016-01-20,-0.04029
2016-01-31,2016-02-19,0.78093
2016-02-29,2016-03-16,0.30272
2016-03-31,2016-04-14,0.1002
2016-04-30,2016-05-17,0.45005
2016-05-31,2016-06-16,0.26836
2016-06-30,2016-07-15,0.24762
2016-07-31,2016-08-16,0.00991
2016-08-31,2016-09-16,0.29821
2016-09-30,2016-10-18,0.80766
2016-10-31,2016-11-17,1.01857
2016-11-30,2016-12-15,1.06244
2016-12-31,2017-01-18,1.55164
2017-01-31,2017-02-15,2.1435
2017-02-28,2017-03-15,2.46479
2017-03-31,2017-04-14,2.01201
2017-04-30,2017-05-12,1.81203
2017-05-31,2017-06-14,1.42744
2017-06-30,2017-07-14,1.12637
2017-07-31,2017-08-11,1.2588
2017-08-31,2017-09-14,1.52626
2017-09-30,2017-10-13,1.94857
2017-10-31,2017-11-15,1.68051
2017-11-30,2017-12-13,1.92403
2017-12-31,2018-01-12,1.77597
2018-01-31,2018-02-14,1.70443
2018-02-28,2018-03-13,1.90476
2018-03-31,2018-04-11,2.06064
2018-04-30,2018-05-10,2.16116
2018-05-31,2018-06-12,2.58014
2018-06-30,2018-07-12,2.67709
2018-07-31,2018-08-10,2.78974
2018-08-31,2018-09-13,2.48926
2018-09-30,2018-10-11,1.95013
2018-10-31,2018-11-14,2.28466
2018-11-30,2018-12-12,1.82933
2018-12-31,2019-01-11,1.53051
2019-01-31,2019-02-13,1.07527
2019-02-28,2019-03-12,1.00202
2019-03-31,2019-04-10,1.44217
2019-04-30,2019-05-10,1.59855
2019-05-31,2019-06-12,1.33384
2019-06-30,2019-07-11,1.14188
2019-07-31,2019-08-13,1.36178
2019-08-31,2019-09-12,1.28584
2019-09-30,2019-10-10,1.21812
2019-10-31,2019-11-13,1.31166
2019-11-30,2019-12-11,1.69135
2019-12-31,2020-01-14,1.98752
2020-01-31,2020-02-13,2.2235
2020-02-29,2020-03-11,2.05094
2020-03-31,2020-04-10,1.04256
2020-04-30,2020-05-12,-0.47108
2020-05-31,2020-06-10,-0.74276
2020-06-30,2020-07-14,0
2020-07-31,2020-08-12,0.45096
2020-08-31,2020-09-11,0.90276
2020-09-30,2020-10-13,1.03422
2020-10-31,2020-11-12,0.79745
2020-11-30,2020-12-10,0.8551
2020-12-31,2021-01-13,1.12973
2021-01-31,2021-02-10,1.21883
2021-02-28,2021-03-10,1.57039
2021-03-31,2021-04-13,2.80461
2021-04-30,2021-05-12,4.79932
2021-05-31,2021-06-10,5.87288
2021-06-30,2021-07-13,6.31292
2021-07-31,2021-08-11,6.24766
2021-08-31,2021-09-14,6.0671
2021-09-30,2021-10-13,6.14182
2021-10-31,2021-11-10,7.14818
2021-11-30,2021-12-10,7.79838
2021-12-31,2022-01-12,8.00596
2022-01-31,2022-02-10,8.50315
2022-02-28,2022-03-10,8.94533
2022-03-31,2022-04-12,9.75365
2022-04-30,2022-05-11,9.30359
2022-05-31,2022-06-10,9.62691
2022-06-30,2022-07-13,10.13274
2022-07-31,2022-08-10,9.33099
2022-08-31,2022-09-13,8.84808
2022-09-30,2022-10-13,8.65334
2022-10-31,2022-11-10,8.00035
2022-11-30,2022-12-13,7.09594
2022-12-31,2023-01-12,6.12825
2023-01-31,2023-02-14,5.95015
2023-02-28,2023-03-14,5.33874
2023-03-31,2023-04-12,3.86566
2023-04-30,2023-05-10,3.81787
2023-05-31,2023-06-13,2.66873
2023-06-30,2023-07-12,1.36601
2023-07-31,2023-08-10,1.67472
2023-08-31,2023-09-13,2.47013
2023-09-30,2023-10-12,2.57403
2023-10-31,2023-11-14,2.12338
2023-11-30,2023-12-12,2.08216
2023-12-31,2024-01-11,2.46081
2024-01-31,2024-02-13,2.26412
2024-02-29,2024-03-12,2.23737
2024-03-31,2024-04-10,2.44117
