date,release_date,cad_interest
2008-01-21,2008-01-21,4
2008-03-04,2008-03-04,3.5
2008-04-22,2008-04-22,3
2008-06-10,2008-06-10,3
2008-07-15,2008-07-15,3
2008-09-03,2008-09-03,3
2008-10-08,2008-10-08,2.5
2008-10-21,2008-10-21,2.25
2008-12-09,2008-12-09,1.5
2009-01-20,2009-01-20,1
2009-03-03,2009-03-03,0.5
2009-04-21,2009-04-21,0.25
2009-06-04,2009-06-04,0.25
2009-07-21,2009-07-21,0.25
2009-09-10,2009-09-10,0.25
2009-10-20,2009-10-20,0.25
2009-12-08,2009-12-08,0.25
2010-01-19,2010-01-19,0.25
2010-03-02,2010-03-02,0.25
2010-04-20,2010-04-20,0.25
2010-06-01,2010-06-01,0.5
2010-07-20,2010-07-20,0.75
2010-09-08,2010-09-08,1
2010-10-19,2010-10-19,1
2010-12-07,2010-12-07,1
2011-01-18,2011-01-18,1
2011-03-01,2011-03-01,1
2011-04-12,2011-04-12,1
2011-05-31,2011-05-31,1
2011-07-19,2011-07-19,1
2011-09-07,2011-09-07,1
2011-10-25,2011-10-25,1
2011-12-06,2011-12-06,1
2012-01-17,2012-01-17,1
2012-03-08,2012-03-08,1
2012-04-17,2012-04-17,1
2012-06-05,2012-06-05,1
2012-07-17,2012-07-17,1
2012-09-05,2012-09-05,1
2012-10-23,2012-10-23,1
2012-12-04,2012-12-04,1
2013-01-23,2013-01-23,1
2013-03-06,2013-03-06,1
2013-04-17,2013-04-17,1
2013-05-29,2013-05-29,1
2013-07-17,2013-07-17,1
2013-09-04,2013-09-04,1
2013-10-23,2013-10-23,1
2013-12-04,2013-12-04,1
2014-01-22,2014-01-22,1
2014-03-05,2014-03-05,1
2014-04-16,2014-04-16,1
2014-06-04,2014-06-04,1
2014-07-16,2014-07-16,1
2014-09-03,2014-09-03,1
2014-10-22,2014-10-22,1
2014-12-03,2014-12-03,1
2015-01-21,2015-01-21,0.75
2015-03-04,2015-03-04,0.75
2015-04-15,2015-04-15,0.75
2015-05-27,2015-05-27,0.75
2015-07-15,2015-07-15,0.5
2015-09-09,2015-09-09,0.5
2015-10-21,2015-10-21,0.5
2015-12-02,2015-12-02,0.5
2016-01-20,2016-01-20,0.5
2016-03-09,2016-03-09,0.5
2016-04-13,2016-04-13,0.5
2016-05-25,2016-05-25,0.5
2016-07-13,2016-07-13,0.5
2016-09-07,2016-09-07,0.5
2016-10-19,2016-10-19,0.5
2016-12-07,2016-12-07,0.5
2017-01-18,2017-01-18,0.5
2017-03-01,2017-03-01,0.5
2017-04-12,2017-04-12,0.5
2017-05-24,2017-05-24,0.5
2017-07-12,2017-07-12,0.75
2017-09-06,2017-09-06,1
2017-10-25,2017-10-25,1
2017-12-06,2017-12-06,1
2018-01-17,2018-01-17,1.25
2018-03-07,2018-03-07,1.25
2018-04-18,2018-04-18,1.25
2018-05-30,2018-05-30,1.25
2018-07-11,2018-07-11,1.5
2018-09-05,2018-09-05,1.5
2018-10-24,2018-10-24,1.75
2018-12-05,2018-12-05,1.75
2019-01-09,2019-01-09,1.75
2019-03-06,2019-03-06,1.75
2019-04-24,2019-04-24,1.75
2019-05-29,2019-05-29,1.75
2019-07-10,2019-07-10,1.75
2019-09-04,2019-09-04,1.75
2019-10-30,2019-10-30,1.75
2019-12-04,2019-12-04,1.75
2020-01-22,2020-01-22,1.75
2020-03-04,2020-03-04,1.25
2020-03-13,2020-03-13,0.75
2020-03-27,2020-03-27,0.25
2020-04-15,2020-04-15,0.25
2020-06-03,2020-06-03,0.25
2020-07-15,2020-07-15,0.25
2020-09-09,2020-09-09,0.25
2020-10-28,2020-10-28,0.25
2020-12-09,2020-12-09,0.25
2021-01-20,2021-01-20,0.25
2021-03-10,2021-03-10,0.25
2021-04-21,2021-04-21,0.25
2021-06-09,2021-06-09,0.25
2021-07-14,2021-07-14,0.25
2021-09-08,2021-09-08,0.25
2021-10-27,2021-10-27,0.25
2021-12-08,2021-12-08,0.25
2022-01-26,2022-01-26,0.25
2022-03-02,2022-03-02,0.5
2022-04-13,2022-04-13,1
2022-06-01,2022-06-01,1.5
2022-07-13,2022-07-13,2.5
2022-09-07,2022-09-07,3.25
2022-10-26,2022-10-26,3.75
2022-12-07,2022-12-07,4.25
2023-01-25,2023-01-25,4.5
2023-03-08,2023-03-08,4.5
2023-04-12,2023-04-12,4.5
2023-06-07,2023-06-07,4.75
2023-07-12,2023-07-12,5
2023-09-06,2023-09-06,5
2023-10-25,2023-10-25,5
2023-12-06,2023-12-06,5
2024-01-24,2024-01-24,5
2024-03-06,2024-03-06,5
2024-04-10,2024-04-10,5
