date,release_date,chf_interest
2010-12-16,2010-12-16,0.25
2011-03-17,2011-03-17,0.25
2011-06-16,2011-06-16,0.25
2011-08-03,2011-08-03,0
2011-09-15,2011-09-15,0
2011-12-15,2011-12-15,0
2012-03-15,2012-03-15,0
2012-06-14,2012-06-14,0
2012-09-13,2012-09-13,0
2012-12-13,2012-12-13,0
2013-03-14,2013-03-14,0
2013-06-20,2013-06-20,0
2013-09-19,2013-09-19,0
2013-12-12,2013-12-12,0
2014-03-20,2014-03-20,0
2014-06-19,2014-06-19,0
2014-09-18,2014-09-18,0
2014-12-11,2014-12-11,0
2014-12-18,2014-12-18,-0.25
2015-01-15,2015-01-15,-0.75
2015-03-19,2015-03-19,-0.75
2015-06-18,2015-06-18,-0.75
2015-09-17,2015-09-17,-0.75
2015-12-10,2015-12-10,-0.75
2016-03-17,2016-03-17,-0.75
2016-06-16,2016-06-16,-0.75
2016-09-15,2016-09-15,-0.75
2016-12-15,2016-12-15,-0.75
2017-03-16,2017-03-16,-0.75
2017-06-15,2017-06-15,-0.75
2017-09-14,2017-09-14,-0.75
2017-12-14,2017-12-14,-0.75
2018-03-15,2018-03-15,-0.75
2018-06-21,2018-06-21,-0.75
2018-09-20,2018-09-20,-0.75
2018-12-13,2018-12-13,-0.75
2019-03-21,2019-03-21,-0.75
2019-06-13,2019-06-13,-0.75
2019-09-19,2019-09-19,-0.75
2019-12-12,2019-12-12,-0.75
2020-03-19,2020-03-19,-0.75
2020-06-18,2020-06-18,-0.75
2020-09-24,2020-09-24,-0.75
2020-12-17,2020-12-17,-0.75
2021-03-25,2021-03-25,-0.75
2021-06-17,2021-06-17,-0.75
2021-09-23,2021-09-23,-0.75
2021-12-16,2021-12-16,-0.75
2022-03-24,2022-03-24,-0.75
2022-06-16,2022-06-16,-0.25
2022-09-22,2022-09-22,0.5
2022-12-15,2022-12-15,1
2023-03-23,2023-03-23,1.5
2023-06-22,2023-06-22,1.75
2023-09-21,2023-09-21,1.75
2023-12-14,2023-12-14,1.75
2024-03-21,2024-03-21,1.5
