date,release_date,gbp_interest
2006-08-03,2006-08-03,4.7500
2006-11-09,2006-11-09,5.0000
2007-01-11,2007-01-11,5.2500
2007-05-10,2007-05-10,5.5000
2007-07-05,2007-07-05,5.7500
2007-12-06,2007-12-06,5.5000
2008-02-07,2008-02-07,5.2500
2008-04-10,2008-04-10,5.0000
2008-10-08,2008-10-08,4.5000
2008-11-06,2008-11-06,3.0000
2008-12-04,2008-12-04,2.0000
2009-01-08,2009-01-08,1.5000
2009-02-05,2009-02-05,1.0000
2009-03-05,2009-03-05,0.5000
2016-08-04,2016-08-04,0.2500
2017-11-02,2017-11-02,0.5000
2018-08-02,2018-08-02,0.7500
2020-03-11,2020-03-11,0.2500
2020-03-19,2020-03-19,0.1000
2021-12-16,2021-12-16,0.2500
2022-02-03,2022-02-03,0.5000
2022-03-17,2022-03-17,0.7500
2022-05-05,2022-05-05,1.0000
2022-06-16,2022-06-16,1.2500
2022-08-04,2022-08-04,1.7500
2022-09-22,2022-09-22,2.2500
2022-11-03,2022-11-03,3.0000
2022-12-15,2022-12-15,3.5000
2023-02-02,2023-02-02,4.0000
2023-03-23,2023-03-23,4.2500
2023-05-11,2023-05-11,4.5000
2023-06-22,2023-06-22,5.0000
2023-08-03,2023-08-03,5.2500
